bit,coefficient
0,0.3743731738396203
1,-0.3629185628723487
2,-0.5526469594128187
3,0.22813679919995472
4,-0.30964611183533225
5,-0.8460503854643147
6,-0.6381697078711697
7,0.24408883646200513
8,-0.6016837945754553
9,-0.6007092347361433
10,-0.1680776659472918
11,-0.06394647475543247
12,0.6046116079984367
13,-0.033063922589969735
14,0.17060376741959804
15,1.1461352307817392
16,-0.6720866529984286
17,-0.01816416780396357
18,-0.3227088535048407
19,-0.42317430188771943
20,0.07383441506794036
21,-0.1464872671291148
22,-0.48239908095529144
23,0.11141833264473539
24,-0.03700778480123128
25,-0.18595244964607568
26,-0.07888322283670901
27,0.03994237492996744
28,-0.21342123687370315
29,-0.5608689349232419
30,-0.9250602921833908
31,-0.5934118506753673
32,-0.6512575068405368
33,-0.5931847882157363
34,0.11911069109519604
35,-0.37934267291622364
36,0.26569716757435924
37,-0.9037459747179614
38,-0.38383999560047605
39,-0.3963259611328186
40,-0.014100183544667758
41,0.7029864693813245
42,0.2780624241173075
43,-0.04159767443026878
44,-0.6174100285758766
45,-0.915916770896841
46,0.18105818729797005
47,-0.15223989243684094
48,-0.10866255362039612
49,0.3316832481965417
50,0.6162093317479505
51,0.2473737919919891
52,-0.5562669900342941
53,-0.286700601180878
54,-0.1681855460652274
55,0.5617047747478758
56,0.12643483671677788
57,-0.12082634629052158
58,0.026198194446176964
59,-0.5905711326291897
60,0.6882370068864794
61,-0.06582748945686029
62,0.5093502105120213
63,-1.052459721976037
64,-1.3168141344223556
65,0.7279810355002958
66,0.5609407790364809
67,0.08462586069505135
68,-0.5349130003185473
69,0.00812683446564462
70,-0.11143797520566215
71,0.22719500612974453
72,-0.4293548259466217
73,0.4920852529173018
74,-0.10124576908303343
75,0.7714888645011635
76,0.17761280671772503
77,0.21340929169959236
78,0.5805714441767259
79,0.06499362074785425
80,-0.022642209131665578
81,-0.2452408855760434
82,-0.47760264271827013
83,-0.2844522495642699
84,-0.31619649862100285
85,0.3279543907504098
86,-1.1736881184753114
87,-0.3208105351873298
88,-0.04253123798174968
89,0.6864203356123227
90,0.5231429952531632
91,-0.1228651996818818
92,0.40862554988337396
93,0.16156168602810575
94,-0.13194073198137782
95,-0.5106077438731396
96,1.0662960213911283
97,-0.37561904200459917
98,0.20752305360243442
99,0.06783563214534381
100,-0.22772352639190985
101,-0.06089281382700528
102,-0.34105520414755935
103,-0.043704500463174645
104,0.20272525449935044
105,-1.024337710686605
106,-0.43550710320476094
107,0.3163671306687712
108,-0.03517314070520528
109,0.028359762698735594
110,-0.577065026346536
111,-0.9288847580781269
112,-0.3653032331876989
113,-0.773611887663243
114,-0.4798009726084508
115,0.2461417628141438
116,-0.9997815197584193
117,0.06556843665853986
118,0.25247802167460864
119,0.3829482388135008
120,-1.211202478158356
121,-0.2734880074967766
122,0.2656027524502925
123,-0.6968349876882871
124,0.3488937488361334
125,-0.4815490501790819
126,0.03667191677814388
127,-0.5153337229515432
128,-0.8537640691936175
129,0.5360827746185663
130,-0.9174332751234112
131,0.4849692025312499
132,-0.19698608838390375
133,-0.7875407752342831
134,-0.45198039372645576
135,-0.09688259740408843
136,0.6899640928349778
137,-0.20595766244270497
138,0.21763525780636533
139,-0.7886112768980263
140,0.11859356216826519
141,0.9397611617105481
142,-0.10245257851318049
143,0.3414351072293905
144,-0.22070773414109846
145,-0.08339575126246446
146,-0.5339012329707963
147,-0.056459294366011714
148,-0.24027439852280216
149,-0.7948324454632327
150,0.11218005087682363
151,-0.45602423826717764
152,0.2320694503283818
153,1.0123311814817137
154,0.3911576169022364
155,0.4013675074783975
156,-0.44382374066686603
157,0.5389091366935778
158,0.16407450361927642
159,-0.14031128088188247
160,0.7898188857368305
161,-0.299437040442087
162,-0.777798694798836
163,0.232586767177547
164,-0.07070901709799668
165,-0.14958118823421102
166,-0.6865523113910732
167,-0.31175566009309
168,-0.2559249192946845
169,0.2865411364154719
170,0.8716937828792267
171,-0.08179846113641082
172,0.029769730240830315
173,-0.2262945465684766
174,1.7686104009621337
175,0.545708011519966
176,-0.05796808274577951
177,1.1088809921695915
178,0.021550314427091488
179,-0.23819073549308933
180,0.10686532580779232
181,-0.5187571724009702
182,-0.0649477600691281
183,-1.6875699554740007
184,-0.14639418837134743
185,-0.9222831574721342
186,0.052492712072364854
187,-0.06548957719249804
188,-0.30567333249597456
189,0.06957031336440646
190,-0.00943346087685764
191,-0.3889385841904678
192,-0.009414091823791604
193,-0.27929346443602643
194,0.006643191280749194
195,-0.2705311920882001
196,-0.602703814345954
197,0.4976785187075907
198,0.021667581834923046
199,-0.03733484022530095
200,0.14537149478109143
201,0.30899776586584193
202,-0.4180781371776702
203,-0.3458565939566527
204,-0.32612058275683004
205,-0.4010958654080382
206,0.4898304704509742
207,0.17593373290602582
208,-0.6040398731986735
209,0.005856649786766699
210,-0.4022147167451515
211,0.1658918142266299
212,-0.39589969560236327
213,-0.30768928070673096
214,0.5242407192064289
215,-1.123950882100084
216,0.3884907514136961
217,1.9728342277051978
218,-0.06050633754364874
219,-1.0888158637223109
220,0.5233696847214613
221,0.15876221338525837
